# ~100 European large-caps used as the WLS estimation universe for Barra factor returns.
# RICs verified against LSEG Workspace. Deduplication by RIC before ingestion.
ric,ticker,name,currency,country
AIXGn.DE,AIXA,AIXTRON SE,EUR,DE
ASML.AS,ASML,ASML Holding NV,EUR,NL
NOVOb.CO,NOVOB,Novo Nordisk A/S,DKK,DK
LVMH.PA,MC,LVMH Moet Hennessy Louis Vuitton SE,EUR,FR
SAPG.DE,SAP,SAP SE,EUR,DE
TTEF.PA,TTE,TotalEnergies SE,EUR,FR
OREP.PA,OR,L Oreal SA,EUR,FR
SIEGn.DE,SIE,Siemens AG,EUR,DE
BASFn.DE,BAS,BASF SE,EUR,DE
ALVG.DE,ALV,Allianz SE,EUR,DE
BNPP.PA,BNP,BNP Paribas SA,EUR,FR
DTEGn.DE,DTE,Deutsche Telekom AG,EUR,DE
AIR.PA,AIR,Airbus SE,EUR,FR
SCHN.PA,SU,Schneider Electric SE,EUR,FR
SASY.PA,SAN_FR,Sanofi SA,EUR,FR
AIRP.PA,AI,Air Liquide SA,EUR,FR
AXAF.PA,CS,AXA SA,EUR,FR
CRDI.MI,UCG,UniCredit SpA,EUR,IT
ISP.MI,ISP,Intesa Sanpaolo SpA,EUR,IT
STLAM.MI,STLAM,Stellantis NV,EUR,NL
IBE.MC,IBE,Iberdrola SA,EUR,ES
SAN.MC,SAN,Banco Santander SA,EUR,ES
BBVA.MC,BBVA,BBVA SA,EUR,ES
ITX.MC,ITX,Inditex SA,EUR,ES
MT.AS,MT,ArcelorMittal SA,EUR,LU
ING.AS,INGA,ING Groep NV,EUR,NL
SHEL.L,SHEL,Shell Plc,GBP,GB
AZN.L,AZN,AstraZeneca Plc,GBP,GB
HSBA.L,HSBA,HSBC Holdings Plc,GBP,GB
GSK.L,GSK,GSK Plc,GBP,GB
BP.L,BP,BP Plc,GBP,GB
ULVR.L,ULVR,Unilever Plc,GBP,GB
DGE.L,DGE,Diageo Plc,GBP,GB
RIO.L,RIO,Rio Tinto Plc,GBP,GB
BARC.L,BARC,Barclays Plc,GBP,GB
LLOY.L,LLOY,Lloyds Banking Group Plc,GBP,GB
VOD.L,VOD,Vodafone Group Plc,GBP,GB
NG.L,NG,National Grid Plc,GBP,GB
MUVGn.DE,MUV2,Munich Re AG,EUR,DE
BAYGn.DE,BAYN,Bayer AG,EUR,DE
BMWG.DE,BMW,BMW AG,EUR,DE
MBGn.DE,MBG,Mercedes-Benz Group AG,EUR,DE
VOWG_p.DE,VOW3,Volkswagen AG Preferred,EUR,DE
DBKGn.DE,DBK,Deutsche Bank AG,EUR,DE
IFXGn.DE,IFX,Infineon Technologies AG,EUR,DE
ADSGn.DE,ADS,Adidas AG,EUR,DE
TRNT.L,TRNl,Trainline Plc,GBP,GB
NESTE.HE,NESTE,Neste Oyj,EUR,FI
SAMPO.HE,SAMPO,Sampo Oyj,EUR,FI
NOKIA.HE,NOKIA,Nokia Oyj,EUR,FI
STERV.HE,STERV,Stora Enso Oyj,EUR,FI
ERICB.ST,ERICB,Ericsson AB,SEK,SE
VOLVA.ST,VOLVA,Volvo AB,SEK,SE
ATCOA.ST,ATCOA,Atlas Copco AB,SEK,SE
ESSITY B.ST,ESSITYB,Essity AB,SEK,SE
SWEDA.ST,SWEDA,Swedbank AB,SEK,SE
INVE B.ST,INVEB,Investor AB,SEK,SE
HEXA B.ST,HEXAB,Hexagon AB,SEK,SE
ABB.S,ABBN,ABB Ltd,CHF,CH
NESN.S,NESN,Nestle SA,CHF,CH
ROG.S,ROG,Roche Holding AG,CHF,CH
NOVN.S,NOVN,Novartis AG,CHF,CH
UBSG.S,UBSG,UBS Group AG,CHF,CH
CSGN.S,CSGN,Credit Suisse Group AG,CHF,CH
ZURN.S,ZURN,Zurich Insurance Group AG,CHF,CH
CFR.S,CFR,Cie Financiere Richemont SA,CHF,CH
SREN.S,SREN,Swiss Re AG,CHF,CH
LONN.S,LONN,Lonza Group AG,CHF,CH
GIVN.S,GIVN,Givaudan SA,CHF,CH
DHER.DE,DHER,Delivery Hero SE,EUR,DE
ENEI.MI,ENEL,Enel SpA,EUR,IT
RACE.MI,RACE,Ferrari NV,EUR,NL
MONC.MI,MONC,Moncler SpA,EUR,IT
LUX.MI,LUX,Luxottica Group SpA,EUR,IT
MEDIOB.MI,MB,Mediobanca SpA,EUR,IT
EDP.LS,EDP,EDP Energias de Portugal SA,EUR,PT
GALP.LS,GALP,Galp Energia SGPS SA,EUR,PT
JERONIMO.LS,JMT,Jeronimo Martins SGPS SA,EUR,PT
PSON.L,PSON,Pearson Plc,GBP,GB
EXPN.L,EXPN,Experian Plc,GBP,GB
REL.L,REL,RELX Plc,GBP,GB
CPG.L,CPG,Compass Group Plc,GBP,GB
BATS.L,BATS,British American Tobacco Plc,GBP,GB
IMB.L,IMB,Imperial Brands Plc,GBP,GB
LGEN.L,LGEN,Legal and General Group Plc,GBP,GB
PRUD.L,PRU,Prudential Plc,GBP,GB
STJ.L,STJ,St James Place Plc,GBP,GB
WPP.L,WPP,WPP Plc,GBP,GB
SGE.L,SGE,Sage Group Plc,GBP,GB
AUTO.L,AUTO,Auto Trader Group Plc,GBP,GB
MNDI.L,MNDI,Mondi Plc,GBP,GB
SMDS.L,SMDS,DS Smith Plc,GBP,GB
ENI.MI,ENI,ENI SpA,EUR,IT
PRY.MI,PRY,Prysmian SpA,EUR,IT
ATL.MI,ATL,Atlantia SpA,EUR,IT
ORAN.PA,ORA,Orange SA,EUR,FR
ENGI.PA,ENGI,Engie SA,EUR,FR
PUBP.PA,PUB,Publicis Groupe SA,EUR,FR
CAPP.PA,CAP,Capgemini SE,EUR,FR
DSY.PA,DSY,Dassault Systemes SE,EUR,FR
ALSO.PA,ALO,Alstom SA,EUR,FR
VIE.PA,VIE,Veolia Environnement SA,EUR,FR
