security_id,ric,ticker,isin,name,currency,asset_type,country,active,barra_universe
SEC_009,.SPX,SPX,,S&P 500 Index,USD,INDEX,,true,false
SEC_010,.dMSWO,MSCI_WORLD,,MSCI World Index,USD,INDEX,,true,false
SEC_011,.MXEU0EL,MSCI_EUROPE,,MSCI Europe Index,EUR,INDEX,,true,false
SEC_001,AIXGn.DE,AIXA,DE000A0WMPJ6,AIXTRON SE,EUR,COMMON,DE,true,true
SEC_002,ESIF.DE,ESIF,IE00BMW42306,iShares Europe Financials UCITS ETF,EUR,ETF,,true,false
SEC_003,SAN.MC,SAN,ES0113900J37,Banco Santander SA,EUR,COMMON,ES,true,true
SEC_004,SMH.PA,SMH,IE00BMC38736,VanEck Semiconductor UCITS ETF,EUR,ETF,,true,false
SEC_005,TRNT.L,TRNl,GB00BKDTK925,Trainline PLC,GBP,COMMON,GB,true,true
SEC_006,GLURNU.L,URNU,IE000NDWFGA5,Global X Uranium UCITS ETF,USD,ETF,,true,false
SEC_007,WDEF.L,WDEF,IE0002Y8CX98,WisdomTree Europe Defence UCITS ETF,EUR,ETF,,true,false
SEC_008,XLUS.L,XLUS,IE00B3VPKB53,Invesco US Utilities S&P UCITS ETF,USD,ETF,,true,false
SEC_012,COPA.L,COPAl,GB00B15KXQ89,WisdomTree Copper ETP,USD,ETF,,true,false
SEC_013,PURR.O,PURR,US44916Y1064,Hyperliquid Strategies Inc,USD,COMMON,,true,false
SEC_014,ASML.AS,ASML,,ASML Holding NV,EUR,COMMON,NL,true,true
SEC_015,NOVOb.CO,NOVOB,,Novo Nordisk A/S,DKK,COMMON,DK,true,true
SEC_016,LVMH.PA,MC,,LVMH Moet Hennessy Louis Vuitton SE,EUR,COMMON,FR,true,true
SEC_017,SAPG.DE,SAP,,SAP SE,EUR,COMMON,DE,true,true
SEC_018,TTEF.PA,TTE,,TotalEnergies SE,EUR,COMMON,FR,true,true
SEC_019,OREP.PA,OR,,L Oreal SA,EUR,COMMON,FR,true,true
SEC_020,SIEGn.DE,SIE,,Siemens AG,EUR,COMMON,DE,true,true
SEC_021,BASFn.DE,BAS,,BASF SE,EUR,COMMON,DE,true,true
SEC_022,ALVG.DE,ALV,,Allianz SE,EUR,COMMON,DE,true,true
SEC_023,BNPP.PA,BNP,,BNP Paribas SA,EUR,COMMON,FR,true,true
SEC_024,DTEGn.DE,DTE,,Deutsche Telekom AG,EUR,COMMON,DE,true,true
SEC_025,AIR.PA,AIR,,Airbus SE,EUR,COMMON,FR,true,true
SEC_026,SCHN.PA,SU,,Schneider Electric SE,EUR,COMMON,FR,true,true
SEC_027,SASY.PA,SAN_FR,,Sanofi SA,EUR,COMMON,FR,true,true
SEC_028,AIRP.PA,AI,,Air Liquide SA,EUR,COMMON,FR,true,true
SEC_029,AXAF.PA,CS,,AXA SA,EUR,COMMON,FR,true,true
SEC_030,CRDI.MI,UCG,,UniCredit SpA,EUR,COMMON,IT,true,true
SEC_031,ISP.MI,ISP,,Intesa Sanpaolo SpA,EUR,COMMON,IT,true,true
SEC_032,STLAM.MI,STLAM,,Stellantis NV,EUR,COMMON,NL,true,true
SEC_033,IBE.MC,IBE,,Iberdrola SA,EUR,COMMON,ES,true,true
SEC_034,BBVA.MC,BBVA,,BBVA SA,EUR,COMMON,ES,true,true
SEC_035,ITX.MC,ITX,,Inditex SA,EUR,COMMON,ES,true,true
SEC_036,MT.AS,MT,,ArcelorMittal SA,EUR,COMMON,LU,true,true
SEC_037,INGA.AS,INGA,,ING Groep NV,EUR,COMMON,NL,true,true
SEC_038,SHEL.L,SHEL,,Shell Plc,GBP,COMMON,GB,true,true
SEC_039,AZN.L,AZN,,AstraZeneca Plc,GBP,COMMON,GB,true,true
SEC_040,HSBA.L,HSBA,,HSBC Holdings Plc,GBP,COMMON,GB,true,true
SEC_041,GSK.L,GSK,,GSK Plc,GBP,COMMON,GB,true,true
SEC_042,BP.L,BP,,BP Plc,GBP,COMMON,GB,true,true
SEC_043,ULVR.L,ULVR,,Unilever Plc,GBP,COMMON,GB,true,true
SEC_044,DGE.L,DGE,,Diageo Plc,GBP,COMMON,GB,true,true
SEC_045,RIO.L,RIO,,Rio Tinto Plc,GBP,COMMON,GB,true,true
SEC_046,BARC.L,BARC,,Barclays Plc,GBP,COMMON,GB,true,true
SEC_047,LLOY.L,LLOY,,Lloyds Banking Group Plc,GBP,COMMON,GB,true,true
SEC_048,VOD.L,VOD,,Vodafone Group Plc,GBP,COMMON,GB,true,true
SEC_049,NG.L,NG,,National Grid Plc,GBP,COMMON,GB,true,true
SEC_050,MUVGn.DE,MUV2,,Munich Re AG,EUR,COMMON,DE,true,true
SEC_051,BAYGn.DE,BAYN,,Bayer AG,EUR,COMMON,DE,true,true
SEC_052,BMWG.DE,BMW,,BMW AG,EUR,COMMON,DE,true,true
SEC_053,MBGn.DE,MBG,,Mercedes-Benz Group AG,EUR,COMMON,DE,true,true
SEC_054,VOWG_p.DE,VOW3,,Volkswagen AG Preferred,EUR,COMMON,DE,true,true
SEC_055,DBKGn.DE,DBK,,Deutsche Bank AG,EUR,COMMON,DE,true,true
SEC_056,IFXGn.DE,IFX,,Infineon Technologies AG,EUR,COMMON,DE,true,true
