Date,AAPL.O,MSFT.O,GOOGL.O,AMZN.O,TSLA.O,META.O,NVDA.O,JPM.N,V.N,UNH.N,.MIWO00000PUS
2025-05-30,200.85,460.36,171.74,205.01,346.46,647.49,135.13,264.0,365.19,301.91,3863.48
2025-06-02,201.7,461.97,169.03,206.65,342.69,670.9,137.38,264.66,365.32,304.72,3881.41
2025-06-03,203.27,462.97,166.18,205.71,344.27,666.85,141.22,266.27,365.86,301.22,3894.53
2025-06-04,202.82,463.87,168.05,207.23,332.05,687.95,141.92,264.22,368.0,300.38,3903.91
2025-06-05,200.63,467.68,168.21,207.91,284.7,684.62,139.99,261.95,366.77,295.84,3889.67
2025-06-06,203.92,470.38,173.68,213.57,295.14,697.71,141.72,265.73,370.22,303.22,3914.72
2025-06-09,201.45,472.75,176.09,216.98,308.58,694.06,142.63,266.74,366.66,303.19,3919.17
2025-06-10,202.67,470.92,178.6,217.61,326.09,702.4,143.96,268.6,370.7,303.79,3934.94
2025-06-11,198.78,472.62,177.35,213.2,326.43,694.14,142.83,268.15,373.31,310.56,3929.36
2025-06-12,199.2,478.87,175.7,213.24,319.11,693.36,145.0,268.24,371.4,318.5,3944.58
2025-06-13,196.45,474.96,174.67,212.1,325.31,682.87,141.97,264.95,352.85,313.53,3900.9
2025-06-16,198.42,479.14,176.77,216.1,329.13,702.12,144.69,270.36,355.48,307.66,3936.03
2025-06-17,195.64,478.04,175.95,214.82,316.35,697.23,144.12,269.52,357.84,308.87,3901.81
2025-06-18,196.58,480.24,173.32,212.52,322.05,695.77,145.48,273.96,340.38,307.2,3899.46
2025-06-19,,,,,,,,,,,3887.09
2025-06-20,201.0,477.4,166.64,209.69,322.16,682.35,143.85,275.0,338.57,302.01,3881.69
2025-06-23,201.5,486.0,165.19,208.47,348.68,698.53,144.17,278.27,343.75,300.68,3905.86
2025-06-24,200.3,490.11,166.77,212.77,340.47,712.2,147.9,281.26,351.63,305.62,3957.83
2025-06-25,201.56,492.27,170.68,211.99,327.55,708.68,154.31,284.06,345.26,302.02,3950.11
2025-06-26,201.0,497.45,173.54,217.12,325.78,726.09,155.02,288.75,346.03,302.62,3984.5
2025-06-27,201.08,495.94,178.53,223.3,323.63,733.63,157.75,287.11,348.61,309.11,4009.04
2025-06-30,205.17,497.41,176.23,219.39,317.66,738.09,157.99,289.91,355.05,311.97,4026.44
2025-07-01,207.82,492.05,175.84,220.46,300.71,719.22,153.3,290.41,355.47,326.14,4021.57
2025-07-02,212.44,491.09,178.64,219.92,315.65,713.57,157.25,292.0,354.22,307.56,4036.25
2025-07-03,213.55,498.84,179.53,223.41,315.35,719.01,159.34,296.0,358.86,308.55,4063.04
2025-07-04,,,,,,,,,,,4061.43
2025-07-07,209.95,497.72,176.79,223.47,293.94,718.35,158.24,291.97,356.64,303.71,4035.12
2025-07-08,210.01,496.62,174.36,219.36,297.81,720.67,160.0,282.78,354.55,307.7,4030.01
2025-07-09,211.14,503.51,176.62,222.54,295.88,732.78,162.88,283.16,357.76,302.91,4055.89
2025-07-10,212.41,501.48,177.62,222.26,309.87,727.24,164.1,288.19,355.88,299.51,4063.96
2025-07-11,211.16,503.32,180.19,225.02,313.51,717.51,164.92,286.86,347.93,304.1,4046.84
2025-07-14,208.62,503.02,181.56,225.69,316.9,720.92,164.07,288.7,350.5,300.58,4051.5
2025-07-15,209.11,505.82,182.0,226.35,310.78,710.39,170.7,286.55,347.02,291.71,4031.2
2025-07-16,210.16,505.62,182.97,223.19,321.67,702.91,171.37,285.82,349.9,292.49,4035.77
2025-07-17,210.02,511.7,183.58,223.88,319.41,701.41,173.0,289.9,349.81,288.07,4060.51
2025-07-18,211.18,510.05,185.06,226.13,329.65,704.28,172.41,291.27,349.05,282.65,4065.68
2025-07-21,212.48,510.06,190.1,229.3,328.49,712.965,171.38,290.97,350.94,282.14,4072.14
2025-07-22,214.4,505.27,191.34,227.47,332.11,704.81,167.03,291.43,351.86,285.13,4074.99
2025-07-23,214.15,505.87,190.23,228.29,332.56,713.58,170.78,296.76,355.29,292.51,4115.24
2025-07-24,213.76,510.88,192.17,232.23,305.3,714.8,173.74,296.55,353.97,278.58,4124.25
2025-07-25,213.88,513.71,193.18,231.44,316.06,712.68,173.5,298.62,357.04,281.06,4127.47
2025-07-28,214.05,512.5,192.58,232.79,325.59,717.63,176.75,298.28,355.47,282.12,4119.12
2025-07-29,211.27,512.57,195.75,231.01,321.2,700.0,175.51,297.04,351.29,261.07,4102.8
2025-07-30,209.05,513.24,196.53,230.19,319.04,695.21,179.27,299.63,350.91,266.04,4095.58
2025-07-31,207.57,533.5,191.9,234.11,308.27,773.44,177.87,296.24,345.47,249.56,4076.04
2025-08-01,202.38,524.11,189.13,214.75,302.63,750.01,173.72,289.37,339.35,237.77,4022.69
2025-08-04,203.35,535.64,195.04,211.65,309.26,776.37,180.0,294.26,342.15,240.98,4072.66
2025-08-05,202.92,527.75,194.67,213.75,308.72,763.46,178.26,291.37,337.43,251.0,4063.3
2025-08-06,213.25,524.94,196.09,222.31,319.91,771.99,179.42,291.35,339.74,245.78,4093.26
2025-08-07,220.03,520.84,196.52,223.13,322.27,761.83,180.77,286.94,332.09,244.67,4098.08
2025-08-08,229.35,522.04,201.42,222.69,329.65,769.3,182.7,288.76,336.78,250.89,4125.3
2025-08-11,227.18,521.77,201.0,221.3,339.03,765.87,182.06,289.56,335.9,252.37,4113.11
2025-08-12,229.65,529.24,203.34,221.47,340.84,790.0,183.16,292.85,336.74,261.57,4156.48
2025-08-13,233.33,520.58,201.96,224.56,339.38,780.08,181.59,290.53,342.55,271.81,4177.97
2025-08-14,232.78,522.48,202.94,230.98,335.58,782.13,182.02,294.16,345.49,271.49,4174.17
2025-08-15,231.59,520.17,203.9,231.03,330.56,785.23,180.45,290.49,344.47,304.01,4174.56
2025-08-18,230.89,517.1,203.5,231.49,335.16,767.37,182.01,291.53,342.74,308.49,4170.72
2025-08-19,230.56,509.77,201.57,228.01,329.31,751.48,175.64,290.66,342.45,304.24,4155.02
2025-08-20,226.01,505.72,199.32,223.81,323.9,747.72,175.4,292.24,343.93,299.84,4148.83
2025-08-21,224.9,504.24,199.75,221.95,320.11,739.1,174.98,291.47,343.69,303.35,4132.08
2025-08-22,227.76,507.23,206.09,228.84,340.01,754.79,177.99,296.24,350.04,307.42,4192.8
2025-08-25,227.16,504.26,208.49,227.94,346.6,753.3,179.81,294.9,348.82,304.86,4174.13
2025-08-26,229.31,502.04,207.14,228.71,351.67,754.1,181.77,298.57,351.18,300.43,4177.26
2025-08-27,230.49,506.74,207.48,229.12,349.6,747.38,181.6,299.28,350.35,303.88,4180.83
2025-08-28,232.56,509.64,211.64,231.6,345.98,751.11,180.17,301.07,349.86,302.29,4199.99
2025-08-29,232.14,506.69,212.91,229.0,333.87,738.7,174.18,301.42,351.78,309.87,4177.72
2025-09-01,,,,,,,,,,,4177.24
2025-09-02,229.72,505.12,211.35,225.34,329.36,735.11,170.78,299.7,350.07,308.8,4143.34
2025-09-03,238.47,505.35,230.66,225.99,334.09,737.05,170.62,299.51,350.87,307.88,4158.88
2025-09-04,239.78,507.97,232.3,235.68,338.53,748.65,171.66,303.82,350.99,310.38,4189.1
2025-09-05,239.69,495.0,235.0,232.33,350.84,752.45,167.02,294.38,343.22,315.39,4191.23
2025-09-08,237.88,498.2,234.04,235.84,346.4,752.3,168.31,292.91,342.3,320.25,4204.41
2025-09-09,234.35,498.41,239.63,238.24,346.97,765.7,170.76,297.85,343.99,347.92,4213.11
2025-09-10,226.79,500.37,239.17,230.33,347.79,751.98,177.33,300.54,338.12,346.78,4223.67
2025-09-11,230.03,501.01,240.37,229.95,368.81,750.9,177.17,305.56,343.49,353.61,4255.23
2025-09-12,234.07,509.9,240.8,228.15,395.94,755.59,177.82,306.91,339.43,352.51,4252.63
2025-09-15,236.7,515.36,251.61,231.43,410.04,764.7,177.75,308.9,339.05,347.89,4273.27
2025-09-16,238.15,509.04,251.16,234.05,421.62,779.0,174.88,309.19,340.03,339.78,4269.83
2025-09-17,238.99,510.02,249.53,231.62,425.86,775.715,170.29,311.75,346.2,341.61,4264.86
2025-09-18,237.88,508.45,252.03,231.23,416.85,780.25,176.24,313.23,338.18,334.82,4279.34
2025-09-19,245.5,517.93,254.72,231.48,426.07,778.38,176.67,314.78,341.61,336.69,4293.85
2025-09-22,256.08,514.45,252.53,227.63,434.21,765.16,183.61,312.44,344.36,341.3,4309.23
2025-09-23,254.43,509.23,251.66,220.71,425.85,755.4,178.43,312.74,338.7,347.69,4293.66
2025-09-24,252.31,510.15,247.14,220.21,442.79,760.66,176.97,313.42,338.68,351.81,4277.35
2025-09-25,256.87,507.03,245.79,218.15,423.39,748.91,177.69,313.45,334.93,345.56,4252.35
2025-09-26,255.46,511.46,246.54,219.78,440.4,743.75,178.19,316.06,337.37,344.08,4276.23
2025-09-29,254.43,514.6,244.05,222.17,443.21,743.4,181.85,315.69,340.16,345.18,4288.36
2025-09-30,254.63,517.95,243.1,219.57,444.72,734.38,186.58,315.43,341.38,345.3,4306.7
2025-10-01,255.45,519.71,244.9,220.63,459.46,717.34,187.24,310.71,347.83,348.3,4322.7
2025-10-02,257.13,515.74,245.69,222.41,436.0,727.05,188.89,307.55,345.95,353.72,4327.49
2025-10-03,258.02,517.35,245.35,219.51,429.83,710.56,187.62,310.03,349.84,360.2,4337.29
2025-10-06,256.69,528.57,250.43,220.9,453.25,715.66,185.54,309.18,349.28,358.77,4351.88
2025-10-07,256.48,523.98,245.76,221.78,433.09,713.08,185.04,307.69,352.42,363.66,4331.48
2025-10-08,258.06,524.85,244.62,225.22,438.69,717.84,189.11,304.03,351.36,369.92,4352.18
2025-10-09,254.04,522.4,241.53,227.74,435.54,733.51,192.57,305.53,347.04,367.69,4337.78
2025-10-10,245.27,510.96,236.57,216.37,413.49,705.3,183.16,300.89,343.65,354.5,4237.72
2025-10-13,247.66,514.05,244.15,220.07,435.9,715.7,188.32,307.97,343.3,358.66,4285.8
2025-10-14,247.77,513.57,245.45,216.39,429.24,708.65,180.03,302.08,348.38,359.93,4277.74
2025-10-15,249.34,513.43,251.03,215.57,435.15,717.55,179.83,305.69,345.69,361.15,4302.27
2025-10-16,247.45,511.61,251.46,214.47,428.75,712.07,181.81,298.54,335.4,356.67,4292.08
2025-10-17,252.29,513.58,253.3,213.04,439.31,716.915,183.22,297.56,341.89,356.6,4296.41
2025-10-20,262.24,516.79,256.55,216.48,447.43,732.17,182.64,302.36,344.41,364.48,4345.79
2025-10-21,262.77,517.66,250.46,222.03,442.6,733.27,181.16,297.09,347.21,365.37,4341.53
2025-10-22,258.45,520.54,251.69,217.95,438.97,733.41,180.28,294.11,345.36,361.49,4322.93
